
A,B,C,D
spam,alpha,2013-01-02,-0.8131026359077839
eggs,beta,2013-01-02,1.0910188501442046
spam,gamma,2013-01-01,-0.40308139933780945
eggs,alpha,2013-01-02,0.9495379129692607
spam,beta,2013-01-02,-0.06098686141776959
eggs,gamma,2013-01-03,0.38883170181816207
spam,alpha,2013-01-02,1.4119271008527066
eggs,beta,2013-01-02,-2.7097576901067466
spam,gamma,2013-01-02,-0.6521904673509089
eggs,alpha,2013-01-03,0.9162275259164838
spam,beta,2013-01-03,0.6174448971069728
eggs,gamma,2013-01-03,1.5520380741260105
spam,alpha,2013-01-02,-2.3134913693039394
eggs,beta,2013-01-03,2.0042096194483836
spam,gamma,2013-01-03,0.020051281558155463
eggs,alpha,2013-01-01,0.17637767174277208
spam,beta,2013-01-01,-0.9654710428695715
eggs,gamma,2013-01-01,0.48821205369592846
spam,alpha,2013-01-01,-1.4829741375935994
eggs,beta,2013-01-02,-0.9787728535538343
spam,gamma,2013-01-01,-0.24626431018916228
eggs,alpha,2013-01-01,-0.1488750046395687
spam,beta,2013-01-02,2.095351888553445
eggs,gamma,2013-01-01,1.2589204095742648
