,Survived,Pclass,Sex,Age,SibSp
0,0,3,True,22,1
1,1,1,False,38,1
2,1,3,False,26,0
3,1,1,False,35,1
4,0,3,True,35,0
6,0,1,True,54,0
7,0,3,True,2,3
8,1,3,False,27,0
9,1,2,False,14,1
10,1,3,False,4,1
11,1,1,False,58,0
12,0,3,True,20,0
13,0,3,True,39,1
14,0,3,False,14,0
15,1,2,False,55,0
16,0,3,True,2,4
18,0,3,False,31,1
20,0,2,True,35,0
21,1,2,True,34,0
22,1,3,False,15,0
23,1,1,True,28,0
24,0,3,False,8,3
25,1,3,False,38,1
27,0,1,True,19,3
30,0,1,True,40,0
33,0,2,True,66,0
34,0,1,True,28,1
35,0,1,True,42,1
37,0,3,True,21,0
38,0,3,False,18,2
39,1,3,False,14,1
40,0,3,False,40,1
41,0,2,False,27,1
43,1,2,False,3,1
44,1,3,False,19,0
49,0,3,False,18,1
50,0,3,True,7,4
51,0,3,True,21,0
52,1,1,False,49,1
53,1,2,False,29,1
54,0,1,True,65,0
56,1,2,False,21,0
57,0,3,True,28,0
58,1,2,False,5,1
59,0,3,True,11,5
60,0,3,True,22,0
61,1,1,False,38,0
62,0,1,True,45,1
63,0,3,True,4,3
66,1,2,False,29,0
67,0,3,True,19,0
68,1,3,False,17,4
69,0,3,True,26,2
70,0,2,True,32,0
71,0,3,False,16,5
72,0,2,True,21,0
73,0,3,True,26,1
74,1,3,True,32,0
75,0,3,True,25,0
79,1,3,False,30,0
80,0,3,True,22,0
81,1,3,True,29,0
83,0,1,True,28,0
84,1,2,False,17,0
85,1,3,False,33,3
86,0,3,True,16,1
88,1,1,False,23,3
89,0,3,True,24,0
90,0,3,True,29,0
91,0,3,True,20,0
92,0,1,True,46,1
93,0,3,True,26,1
94,0,3,True,59,0
96,0,1,True,71,0
97,1,1,True,23,0
98,1,2,False,34,0
99,0,2,True,34,1
100,0,3,False,28,0
102,0,1,True,21,0
103,0,3,True,33,0
104,0,3,True,37,2
105,0,3,True,28,0
106,1,3,False,21,0
108,0,3,True,38,0
110,0,1,True,47,0
111,0,3,False,14,1
112,0,3,True,22,0
113,0,3,False,20,1
114,0,3,False,17,0
115,0,3,True,21,0
116,0,3,True,70,0
117,0,2,True,29,1
118,0,1,True,24,0
119,0,3,False,2,4
120,0,2,True,21,2
122,0,2,True,32,1
123,1,2,False,32,0
124,0,1,True,54,0
125,1,3,True,12,1
127,1,3,True,24,0
